TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
0102-02640-1,75.13553583,3.61482667,6.889,6.95,Orion,-0.06099999999999994
0103-01463-1,77.23398694,3.2187875,6.683,6.538,Orion,0.14499999999999957
0103-02863-1,78.32283194,2.86125361,6.076,4.62,Orion,1.4559999999999995
0103-02864-1,78.38144083,1.96766139,6.605,6.197,Orion,0.40800000000000036
0104-02960-1,79.17102222,1.94734278,6.405,6.407,Orion,-0.0019999999999997797
0104-03169-1,79.79678556,2.59593361,5.821,5.375,Orion,0.44599999999999973
0105-01214-1,80.6905325,2.79632694,6.818,6.718,Orion,0.09999999999999964
0105-02661-1,81.63007722,2.93591861,6.637,6.698,Orion,-0.06100000000000083
0105-02690-1,81.15041972,2.3531675,6.126,6.275,Orion,-0.14900000000000002
0105-02709-1,82.38969778,3.14793333,6.938,7.09,Orion,-0.15200000000000014
0105-02799-1,80.71264278,3.55222139,6.676,6.756,Orion,-0.08000000000000007
0105-02800-1,80.70833667,3.54444833,4.775,4.951,Orion,-0.17599999999999927
0105-02801-1,81.70928361,3.09567694,4.332,4.574,Orion,-0.242
0108-02091-1,80.33045028,4.01197833,6.394,6.519,Orion,-0.125
0109-00326-1,80.87950917,5.32304639,6.491,6.351,Orion,0.13999999999999968
0109-00729-1,81.78459389,3.85554861,6.528,6.711,Orion,-0.18300000000000072
0113-00534-1,81.66176972,6.86873611,6.388,6.397,Orion,-0.009000000000000341
0114-02363-1,83.48993556,1.40764639,6.338,6.541,Orion,-0.2030000000000003
0115-02182-1,84.95451194,1.49173972,6.792,6.871,Orion,-0.07900000000000063
0115-02291-1,85.27329083,0.33769083,6.274,5.949,Orion,0.3250000000000002
0115-02299-1,85.61942528,1.47466333,6.384,5.03,Orion,1.354
0116-01316-1,86.64564556,1.168515,6.883,6.011,Orion,0.8719999999999999
0116-01329-1,88.11017833,1.85515778,6.554,4.909,Orion,1.6450000000000005
0117-01338-1,89.60182944,1.8371275,6.168,5.915,Orion,0.2530000000000001
0117-01471-1,89.70658556,0.55297306,5.226,5.202,Orion,0.02400000000000002
0117-01543-1,89.35531833,0.02753972,6.922,6.947,Orion,-0.025000000000000355
0118-02925-1,82.81055028,3.29213389,5.501,5.707,Orion,-0.20599999999999952
0118-02925-2,82.81078528,3.29260111,6.59,6.744,Orion,-0.15399999999999991
0119-01868-1,85.5734075,2.36718222,6.604,6.655,Orion,-0.051000000000000156
0122-02409-1,83.56995472,3.76693306,5.404,5.334,Orion,0.07000000000000028
0123-00609-1,85.84965611,5.35865194,6.667,6.718,Orion,-0.051000000000000156
0123-02200-1,84.79644111,4.12146694,4.375,4.503,Orion,-0.1280000000000001
0124-01656-1,86.25748917,4.00818611,6.481,6.129,Orion,0.3520000000000003
0126-00576-1,83.68066167,5.66086472,6.523,6.688,Orion,-0.16500000000000004
0126-01899-1,82.69603333,5.94821472,4.279,4.439,Orion,-0.16000000000000014
0126-01899-2,82.69626944,5.94842,5.68,5.751,Orion,-0.07100000000000062
0128-01551-1,87.00096694,6.45420722,6.314,5.986,Orion,0.3280000000000003
0128-01551-2,87.00077694,6.45394917,6.218,6.032,Orion,0.18599999999999994
0129-00818-1,88.73104778,5.86081,6.853,6.899,Orion,-0.04600000000000026
0130-02194-1,90.57128333,1.69406444,6.522,6.555,Orion,-0.032999999999999474
0132-01009-1,93.97490083,1.16901028,6.875,6.408,Orion,0.46699999999999964
0132-01964-1,94.08781556,1.080355,6.537,6.604,Orion,-0.06700000000000017
0133-00599-1,97.21815889,0.12796972,6.506,6.542,Monoceros,-0.03599999999999959
0133-01307-1,96.32702528,1.50152861,6.624,6.656,Monoceros,-0.03200000000000003
0133-01965-1,96.74510611,0.84104056,6.724,6.682,Monoceros,0.041999999999999815
0133-02047-1,96.80733083,0.29926528,6.708,5.318,Monoceros,1.3900000000000006
0135-00563-1,92.59912,2.90187194,6.744,6.824,Orion,-0.08000000000000007
0135-01616-1,92.24126861,2.4997275,5.757,5.68,Orion,0.07699999999999996
0135-01617-1,92.24868861,2.49639556,6.734,6.678,Orion,0.05600000000000005
0136-01538-1,95.35741333,2.2685875,6.596,6.313,Monoceros,0.28300000000000036
0137-01420-1,96.44387028,2.27171889,6.469,6.495,Monoceros,-0.0259999999999998
0137-01864-1,97.06987722,1.91271528,6.394,6.442,Monoceros,-0.04800000000000004
0137-02119-1,96.83531083,2.90825889,6.857,5.658,Monoceros,1.1989999999999998
0138-00135-1,91.2424475,5.41997028,6.985,5.774,Orion,1.2110000000000003
0138-00963-1,91.24316222,4.15867556,6.928,5.735,Orion,1.1929999999999996
0140-01687-1,93.94589861,4.28364361,6.414,6.588,Orion,-0.17400000000000038
0140-01840-1,94.31766639,5.09972639,6.425,5.769,Orion,0.6559999999999997
0140-01985-1,93.876025,3.95820472,6.845,6.987,Orion,-0.14200000000000035
0141-02388-1,95.82704361,3.76451111,6.22,6.364,Monoceros,-0.14400000000000013
0141-02452-1,95.94207361,4.59283944,4.629,4.423,Monoceros,0.20599999999999952
0143-00475-1,92.99469222,7.39132528,6.927,7.023,Orion,-0.09600000000000009
0144-01760-1,94.24352167,7.05258306,6.389,6.531,Orion,-0.14199999999999946
0144-03220-1,93.91740528,6.06620472,5.902,6.03,Orion,-0.1280000000000001
0145-01837-1,97.48314833,7.11199722,6.973,7.124,Monoceros,-0.1509999999999998
0146-01678-1,98.8159575,0.8902225,5.77,5.786,Monoceros,-0.016000000000000014
0147-02018-1,99.65911472,1.61352278,6.329,6.241,Monoceros,0.08800000000000008
0147-02019-1,100.27268583,0.49533417,5.648,5.75,Monoceros,-0.10200000000000031
0148-02853-1,102.26523861,1.00207111,5.963,6.126,Monoceros,-0.16300000000000026
0152-01780-1,102.91405944,3.04205889,6.425,6.374,Monoceros,0.051000000000000156
0152-02580-1,101.96523583,2.41218833,5.887,4.593,Monoceros,1.2939999999999996
0154-01683-1,97.98133528,4.9428575,6.873,6.792,Monoceros,0.0810000000000004
0154-01990-1,99.0004425,4.49804639,6.472,6.542,Monoceros,-0.0699999999999994
0155-00309-1,100.91102417,3.93253389,5.81,5.858,Monoceros,-0.04800000000000004
0155-02387-1,99.7058625,4.70061,6.459,6.538,Monoceros,-0.07900000000000063
0155-02821-1,99.4696025,4.95666833,6.278,6.187,Monoceros,0.0909999999999993
0156-01065-1,102.94063861,5.08440917,6.927,6.918,Monoceros,0.008999999999999453
0158-01594-1,99.35017861,6.13538167,6.071,6.071,Monoceros,0.0
0158-02520-1,98.02975778,6.03565528,6.65,6.698,Monoceros,-0.04800000000000004
0158-03030-1,99.10787028,6.08318861,6.77,6.841,Monoceros,-0.07100000000000062
0158-03394-1,98.22595806,7.33297833,4.485,4.486,Monoceros,-0.0009999999999994458
0159-02094-1,99.69969944,6.9018825,6.9,6.94,Monoceros,-0.040000000000000036
0159-02503-1,100.13311444,6.37124889,6.325,6.476,Monoceros,-0.1509999999999998
0159-03004-1,100.49679417,6.34541833,6.254,6.341,Monoceros,-0.08700000000000063
0161-00442-1,104.83408194,7.31698556,6.185,6.311,Monoceros,-0.12600000000000033
0162-03501-1,106.08406917,1.48850056,6.55,6.54,Monoceros,0.009999999999999787
0164-02275-1,110.12947806,0.40356167,6.972,6.979,Canis Minor,-0.006999999999999673
0164-02276-1,110.51448806,0.177125,5.881,5.959,Canis Minor,-0.0779999999999994
0166-03230-1,105.10411806,1.93152028,6.587,6.732,Monoceros,-0.14500000000000046
0167-04147-1,108.58360417,3.11142278,6.917,5.48,Canis Minor,1.4369999999999994
0168-02116-1,110.18201083,3.58167694,6.658,6.847,Canis Minor,-0.18900000000000006
0170-00062-1,105.48025944,5.55716472,6.538,6.572,Monoceros,-0.03399999999999981
0170-01330-1,105.4226775,4.8180975,6.691,6.632,Monoceros,0.05900000000000016
0170-02729-1,105.73616917,3.85842028,,11.85,Monoceros,
0170-03040-1,106.77699944,4.9105975,5.932,6.068,Monoceros,-0.13599999999999923
0175-04420-1,107.96412806,5.65471417,6.034,6.055,Canis Minor,-0.020999999999999908
0176-00116-1,109.32416194,6.6809925,6.497,6.608,Canis Minor,-0.11099999999999977
0176-03592-1,109.94838556,7.14308306,6.537,5.971,Canis Minor,0.5659999999999998
0177-02986-1,112.00865278,6.94207139,5.5,5.255,Canis Minor,0.2450000000000001
0180-02565-1,117.92498167,1.76687556,4.964,5.092,Canis Minor,-0.12799999999999923
0181-02890-1,119.31826861,1.12702167,6.934,6.42,Canis Minor,0.5140000000000002
0182-01866-1,113.56622389,3.37173583,5.785,5.812,Canis Minor,-0.027000000000000135
0182-02288-1,113.01122611,2.72542861,6.928,6.855,Canis Minor,0.07299999999999951
0182-02321-1,113.69258556,2.7255125,6.817,6.565,Canis Minor,0.2519999999999998
0182-02739-1,113.0247925,1.91448278,5.498,5.261,Canis Minor,0.2370000000000001
0182-02740-1,113.29864444,3.29028306,5.96,5.611,Canis Minor,0.3490000000000002
0183-01552-1,115.39648611,3.62482528,5.898,5.936,Canis Minor,-0.038000000000000256
0183-02428-1,116.03184333,2.40544333,6.711,6.49,Canis Minor,0.22100000000000009
0183-02429-1,114.42333583,1.92839583,6.847,6.87,Canis Minor,-0.022999999999999687
0185-00535-1,119.62637917,2.93587472,6.835,6.672,Canis Minor,0.16300000000000026
0185-02499-1,119.58643,2.22452944,6.458,5.407,Canis Minor,1.0510000000000002
0187-01206-1,115.02913861,5.23123417,6.526,6.549,Canis Minor,-0.023000000000000576
0187-01206-2,115.0292,5.23098333,6.89,6.956,Canis Minor,-0.06600000000000072
0189-00657-1,119.68826083,5.62327028,6.89,6.972,Canis Minor,-0.08200000000000074
0190-01960-1,114.14485194,5.86210972,6.607,5.956,Canis Minor,0.6509999999999998
0192-01713-1,117.702435,5.85924583,7.0,6.959,Canis Minor,0.04100000000000037
0193-00205-1,119.52459333,7.21355528,6.415,6.42,Canis Minor,-0.004999999999999893
0198-02137-1,120.566465,2.33432,6.019,4.524,Canis Minor,1.495
0198-02138-1,121.44878222,2.16510889,6.815,6.821,Canis Minor,-0.005999999999999339
0202-01740-1,120.30795083,4.87977694,5.654,5.641,Canis Minor,0.0129999999999999
0213-01326-1,134.53426167,1.54160389,6.657,6.587,Hydra,0.07000000000000028
0215-02021-1,130.80619028,3.39866528,4.037,4.248,Hydra,-0.2110000000000003
0215-02022-1,129.6893675,3.34147556,6.011,4.577,Hydra,1.4340000000000002
0219-00039-1,131.12999,5.28582722,6.987,6.881,Hydra,0.10599999999999987
0219-00130-1,130.99911139,4.33457306,6.297,6.353,Hydra,-0.05600000000000005
0220-00746-1,133.10076111,5.34033306,6.489,6.365,Hydra,0.12399999999999967
0222-01709-1,128.96270278,6.62053389,6.539,5.983,Cancer,0.556
0223-01795-1,129.41419167,5.7038,4.152,4.132,Hydra,0.020000000000000462
0224-00141-1,131.25532806,5.68059556,6.358,6.152,Hydra,0.20599999999999952
0224-00587-1,132.48945028,6.54722306,6.946,6.937,Cancer,0.008999999999999453
0224-01333-1,131.69432472,6.41890917,4.25,3.488,Hydra,0.762
0224-01334-1,132.10825111,5.83788583,4.305,4.332,Hydra,-0.027000000000000135
0225-01116-1,133.84867333,5.94552917,4.387,3.21,Hydra,1.1769999999999996
0227-02544-1,138.59082444,2.31498472,3.803,3.853,Hydra,-0.050000000000000266
0230-01035-1,138.05378556,3.86699,6.131,6.13,Hydra,0.001000000000000334
0232-02195-1,136.49323667,5.09234167,6.584,5.12,Hydra,1.4639999999999995
0233-01306-1,139.96333417,5.21608028,6.92,6.649,Hydra,0.2709999999999999
0233-01427-1,137.98203361,5.46865333,6.711,6.38,Hydra,0.3310000000000004
0235-02367-1,143.17252417,1.86423278,6.847,6.189,Hydra,0.6580000000000004
0236-01843-1,146.59850472,1.78568083,6.045,5.681,Sextans,0.3639999999999999
0237-01877-1,148.0511025,2.45390361,5.97,6.005,Sextans,-0.03500000000000014
0238-02476-1,144.61407306,4.64940861,6.407,4.818,Hydra,1.5890000000000004
