TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
1759-02121-1,25.32625889,25.74581417,6.729,6.254,Pisces,0.47500000000000053
1761-02536-1,32.35537167,25.93997139,5.385,5.019,Aries,0.36599999999999966
1761-02538-1,30.91361306,25.93545139,6.363,5.823,Aries,0.54
1761-02540-1,31.70509944,25.70458639,5.985,6.008,Aries,-0.022999999999999687
1763-03028-1,28.27041917,29.57936528,3.984,3.457,Triangulum,0.5270000000000001
1764-00741-1,31.7047775,29.26941694,6.96,6.769,Triangulum,0.19099999999999984
1765-01370-1,34.74148778,23.167835,6.862,6.484,Aries,0.3780000000000001
1766-01511-1,37.306795,23.46907194,6.385,6.198,Aries,0.1869999999999994
1769-01308-1,33.94142917,25.78308639,6.308,5.84,Aries,0.46799999999999997
1769-01309-1,33.92846111,25.04324222,6.178,5.637,Aries,0.5410000000000004
1770-01527-1,37.63465167,25.23520278,6.369,5.928,Aries,0.44099999999999984
1771-01398-1,39.25183528,24.64725417,6.93,6.503,Aries,0.4269999999999996
1772-00041-1,40.96352917,25.63833028,6.492,6.399,Aries,0.09299999999999997
1776-01395-1,40.86296361,27.70717111,4.482,4.624,Aries,-0.14199999999999946
1776-01396-1,40.17098,27.06100667,5.401,5.307,Aries,0.09399999999999942
1777-01481-1,34.73745611,28.64267333,5.316,5.293,Triangulum,0.022999999999999687
1778-01522-1,37.04162528,29.6695275,5.641,5.323,Triangulum,0.3179999999999996
1778-01523-1,37.20223333,29.93159194,6.602,5.968,Triangulum,0.6340000000000003
1785-00603-1,42.19113278,25.18807278,5.852,5.887,Aries,-0.034999999999999254
1787-01187-1,46.36119833,25.25519722,5.433,5.465,Aries,-0.03200000000000003
1789-00117-1,43.84171167,27.72241694,6.8,6.842,Aries,-0.041999999999999815
1789-01490-1,42.49580194,27.26078056,3.478,3.579,Aries,-0.10099999999999998
1790-01709-1,45.47562556,26.46234083,6.094,5.929,Aries,0.16500000000000004
1791-01518-1,47.53678639,27.81988361,6.436,6.414,Aries,0.02200000000000024
1791-01519-1,48.05932778,27.25701056,5.652,5.754,Aries,-0.10199999999999942
1792-00826-1,49.19161333,26.30059583,,11.542,Aries,
1792-01419-1,49.98254944,27.07130139,6.986,6.013,Aries,0.9729999999999999
1793-01611-1,41.9768625,29.24741333,5.939,4.639,Aries,1.2999999999999998
1794-01818-1,45.87548083,28.26995722,6.725,6.402,Aries,0.3229999999999995
1795-01546-1,47.40303611,29.07711333,5.876,5.755,Aries,0.12100000000000044
1796-00818-1,48.57385,28.76130722,,11.349,Aries,
1796-01306-1,50.08485778,29.04849806,6.527,4.639,Aries,1.888
1798-00536-1,54.24180778,23.21111278,6.863,6.73,Taurus,0.133
1799-00660-1,54.66961806,22.65972083,6.685,6.699,Taurus,-0.014000000000000234
1799-01005-1,56.45334528,23.14725333,6.934,6.911,Taurus,0.023000000000000576
1799-01439-1,56.45664139,24.36785556,3.775,3.849,Taurus,-0.07400000000000029
1799-01440-1,56.200845,24.28957333,5.384,5.441,Taurus,-0.056999999999999496
1799-01441-1,56.21885222,24.11344611,3.558,3.674,Taurus,-0.1160000000000001
1800-01260-1,57.49184417,23.84880028,6.828,6.809,Taurus,0.019000000000000128
1800-01622-1,56.87267917,24.28845111,6.887,6.815,Taurus,0.07199999999999918
1800-02200-1,57.29668444,24.13682222,4.939,5.028,Taurus,-0.08899999999999952
1800-02201-1,56.83760389,24.11637167,6.302,6.273,Taurus,0.028999999999999915
1800-02202-1,56.87110528,24.10523889,2.77,2.834,Taurus,-0.06400000000000006
1800-02203-1,57.29054722,24.05352028,3.517,3.601,Taurus,-0.08400000000000007
1800-02204-1,56.58150528,23.94845917,4.085,4.152,Taurus,-0.06700000000000017
1800-02205-1,57.23713306,23.857265,6.906,6.509,Taurus,0.39699999999999935
1800-02206-1,57.43133083,23.71196083,6.094,6.145,Taurus,-0.05099999999999927
1800-02207-1,57.08668778,23.42136056,5.362,5.427,Taurus,-0.0649999999999995
1802-01524-1,53.61093194,24.46456083,6.211,6.085,Taurus,0.12600000000000033
1803-01582-1,55.19293722,25.32952667,6.217,6.114,Taurus,0.10299999999999976
1803-01583-1,56.29053083,24.83936972,5.561,5.636,Taurus,-0.07500000000000018
1803-01584-1,56.476935,24.55461944,5.706,5.745,Taurus,-0.0389999999999997
1803-01585-1,56.30201028,24.46737556,4.158,4.272,Taurus,-0.11399999999999988
1804-00486-1,58.39360111,25.68296389,6.476,6.363,Taurus,0.11299999999999955
1804-01079-1,57.85541306,25.16295639,6.966,6.805,Taurus,0.16100000000000048
1804-02047-1,57.34057639,24.38106111,6.561,6.582,Taurus,-0.020999999999999908
1804-02081-1,56.74743528,24.52023083,6.842,6.824,Taurus,0.017999999999999794
1804-02519-1,57.57882528,25.57964694,5.501,5.262,Taurus,0.23900000000000077
1804-02521-1,56.51203472,24.52800167,6.401,6.418,Taurus,-0.017000000000000348
1805-01736-1,50.54954389,27.60757528,6.973,5.662,Aries,1.311
1806-01888-1,52.83637778,27.57188333,6.61,6.575,Taurus,0.03500000000000014
1810-01157-1,54.16580528,29.22404194,6.836,6.557,Taurus,0.2789999999999999
1811-01548-1,55.32661194,28.70279056,6.866,6.863,Taurus,0.0029999999999992255
1813-00817-1,59.26584278,23.17559139,6.069,6.04,Taurus,0.028999999999999915
1813-00873-1,60.23671167,23.20157806,6.957,6.92,Taurus,0.03699999999999992
1814-01647-1,61.09030583,24.10602361,6.515,5.602,Taurus,0.9129999999999994
1816-01891-1,65.99900111,24.30102361,6.542,6.359,Taurus,0.18299999999999983
1816-01892-1,66.82269917,22.99636861,5.389,5.498,Taurus,-0.10899999999999999
1816-01893-1,66.57666278,22.81369,4.599,4.303,Taurus,0.29600000000000026
1820-01416-1,65.64554639,25.62935556,5.339,5.372,Taurus,-0.032999999999999474
1822-02314-1,61.65166278,27.60002528,5.011,5.151,Taurus,-0.13999999999999968
1822-02315-1,62.70783139,26.48103778,5.78,5.427,Taurus,0.35300000000000065
1824-01167-1,65.08847278,27.35093528,6.424,5.079,Taurus,1.3450000000000006
1826-01575-1,61.75214278,29.00128833,5.609,5.245,Taurus,0.3639999999999999
1830-02127-1,70.80728028,24.08896278,6.782,6.212,Taurus,0.5700000000000003
1830-02128-1,69.12113083,23.34098306,6.474,6.055,Taurus,0.4190000000000005
1830-02129-1,70.56126472,22.95697556,4.11,4.239,Taurus,-0.12899999999999956
1830-02130-1,70.97500694,22.94444972,6.924,6.916,Taurus,0.008000000000000007
1831-01974-1,71.42692389,23.6280375,6.406,6.337,Taurus,0.06899999999999995
1834-00719-1,69.84640806,25.21830111,6.407,6.226,Taurus,0.18100000000000005
1836-01792-1,74.53907306,25.050515,5.813,5.787,Taurus,0.0259999999999998
1836-01793-1,74.06496333,24.59225028,6.731,6.366,Taurus,0.3650000000000002
1837-00510-1,67.33261583,27.40429389,6.515,6.543,Taurus,-0.02800000000000047
1839-01658-1,73.19620556,27.89756556,6.398,6.005,Taurus,0.3929999999999998
1841-01388-1,68.65829667,28.961205,5.813,5.869,Taurus,-0.05600000000000005
1842-01584-1,70.33224111,28.61506417,5.743,5.73,Taurus,0.0129999999999999
1845-03942-1,77.02759167,24.26518444,5.534,5.506,Taurus,0.02799999999999958
1845-03944-1,76.4071625,23.06105472,6.829,6.742,Taurus,0.08699999999999974
1852-01198-1,82.31872833,25.15031111,5.754,5.825,Taurus,-0.07100000000000062
1853-01550-1,76.15811611,27.69611611,6.91,6.638,Taurus,0.27200000000000024
1853-01957-1,76.47255528,26.42995972,6.723,6.619,Taurus,0.10400000000000009
1853-01958-1,77.43774139,28.03060944,6.339,6.036,Taurus,0.3030000000000008
1855-00230-1,80.24726333,27.95729694,6.386,6.348,Taurus,0.038000000000000256
1859-01289-1,80.84525806,28.93683889,6.376,6.435,Auriga,-0.058999999999999275
1859-01469-1,80.30287111,29.56988556,5.74,5.666,Auriga,0.07399999999999984
1860-00628-1,82.419315,29.18657278,6.734,6.243,Auriga,0.49099999999999966
1861-01281-1,85.47814639,23.32627194,6.465,6.55,Taurus,-0.08499999999999996
1861-02149-1,83.86300444,24.03964028,5.254,5.355,Taurus,-0.10100000000000087
1862-00835-1,85.83124694,23.20440861,6.128,6.208,Taurus,-0.08000000000000007
1863-02515-1,89.23382306,24.24969694,6.434,6.07,Taurus,0.3639999999999999
1864-02011-1,91.03006917,23.26360972,5.208,4.261,Gemini,0.9470000000000001
1865-02865-1,84.93413833,25.89714722,4.977,5.142,Taurus,-0.16500000000000004
1866-02044-1,85.91274778,25.43954972,6.813,6.816,Taurus,-0.0030000000000001137
1866-02598-1,87.25399528,24.56755472,6.174,4.987,Taurus,1.1870000000000003
1867-03204-1,89.49857306,25.95391583,4.703,4.806,Taurus,-0.10299999999999976
1869-01851-1,84.28682167,26.92453361,6.507,6.544,Taurus,-0.03699999999999992
1869-01851-2,84.28702361,26.92427306,6.464,6.551,Taurus,-0.08699999999999974
1870-01883-1,87.7421325,27.96783333,6.807,5.689,Taurus,1.1180000000000003
1871-02618-1,88.33184972,27.61228417,4.54,4.55,Taurus,-0.009999999999999787
1872-02488-1,90.25189056,27.57236861,6.3,6.067,Gemini,0.23299999999999965
1873-00934-1,85.337365,29.4874825,6.27,6.376,Auriga,-0.10600000000000076
1873-00935-1,84.82630722,29.21523167,6.154,6.002,Auriga,0.15200000000000014
1875-02584-1,89.14069806,28.94227028,6.678,6.372,Auriga,0.30600000000000005
1877-00113-1,92.62473861,22.99787889,6.776,6.864,Gemini,-0.08800000000000008
1877-01716-1,93.71956139,22.50682139,5.451,3.519,Gemini,1.9319999999999995
1877-01718-1,92.43326556,23.1134775,5.973,5.797,Gemini,0.17600000000000016
1878-01429-1,95.73997333,22.51383,5.005,3.064,Gemini,1.9409999999999998
1878-01430-1,94.24460389,23.74091528,6.736,6.327,Gemini,0.4089999999999998
1879-00374-1,96.38725778,23.32720694,6.08,6.04,Gemini,0.040000000000000036
1880-00584-1,99.17647056,23.09805,6.854,6.975,Gemini,-0.12099999999999955
1884-01312-1,99.36371306,24.59084222,6.577,6.495,Gemini,0.08199999999999985
1888-01793-1,98.80025806,28.02234306,5.249,5.258,Auriga,-0.009000000000000341
1889-00861-1,93.84472361,29.49867972,5.613,4.434,Auriga,1.1790000000000003
1890-00061-1,96.21980778,29.70709111,6.621,6.687,Auriga,-0.06599999999999984
1890-00270-1,94.65734361,29.7815225,6.876,6.859,Auriga,0.017000000000000348
1890-00579-1,95.29963528,29.54091889,6.455,6.409,Auriga,0.04600000000000026
1890-00964-1,95.51597556,29.96416833,6.99,7.006,Auriga,-0.016000000000000014
1892-00236-1,99.59590778,28.98438806,5.77,5.746,Auriga,0.023999999999999133
1892-00778-1,99.88801639,28.26315806,6.075,6.205,Auriga,-0.1299999999999999
1893-00003-1,101.23482417,22.83738056,6.983,6.771,Gemini,0.21199999999999974
1893-01158-1,102.28578194,23.20193722,6.803,6.791,Gemini,0.011999999999999567
1895-01643-1,106.32654139,22.63747889,5.965,5.999,Gemini,-0.03399999999999981
1895-02276-1,105.60326889,24.21544694,6.383,5.287,Gemini,1.096
1896-00011-1,108.10994472,24.128695,6.304,5.889,Gemini,0.41500000000000004
1897-01639-1,100.98303861,25.13115139,4.83,3.138,Gemini,1.6920000000000002
1898-00331-1,102.99252694,25.66298056,6.939,6.766,Gemini,0.17300000000000004
1898-00482-1,104.21661222,24.61881472,,11.624,Gemini,
1898-02479-1,103.82787139,25.37563778,6.472,5.816,Gemini,0.6560000000000006
1899-00450-1,104.86639833,25.91418639,6.253,6.378,Gemini,-0.125
1899-01584-1,104.697955,26.08085861,6.81,6.259,Gemini,0.5509999999999993
1900-00108-1,108.61061639,24.71116278,6.869,6.878,Gemini,-0.009000000000000341
1901-01374-1,102.29248194,27.19048333,6.824,6.685,Gemini,0.13900000000000023
1904-01157-1,107.8461625,26.85666361,5.898,5.766,Gemini,0.13199999999999967
1907-00321-1,105.87650861,29.33899861,6.654,6.006,Gemini,0.6479999999999997
1908-00126-1,106.85367667,28.17669472,6.367,6.451,Gemini,-0.08399999999999963
1909-02506-1,110.86730083,22.94543444,6.176,6.159,Gemini,0.017000000000000348
1911-00049-1,114.80003139,24.22252861,6.208,6.172,Gemini,0.036000000000000476
1911-00681-1,114.55984639,24.36039528,6.765,6.411,Gemini,0.3540000000000001
1912-02347-1,117.14019306,23.14098861,6.885,6.274,Gemini,0.6109999999999998
1913-02400-1,110.86896556,25.05059667,6.163,5.123,Gemini,1.04
1916-02156-1,116.11194806,24.39812389,4.741,3.662,Gemini,1.0789999999999997
1918-02337-1,112.33525583,28.11839611,5.217,5.08,Gemini,0.13699999999999957
1918-02338-1,112.45324972,27.91619583,6.437,5.134,Gemini,1.303
1918-02339-1,111.43196556,27.79827889,5.086,3.888,Gemini,1.1980000000000004
1918-02340-1,111.13935333,27.63781889,6.178,5.802,Gemini,0.37600000000000033
1919-02109-1,113.98070944,26.89598583,6.066,4.227,Gemini,1.8389999999999995
1924-02022-1,115.82786667,28.88404667,5.675,4.369,Gemini,1.306
1925-00522-1,119.02694389,23.62384722,6.688,6.777,Gemini,-0.08900000000000041
1927-01626-1,123.42380278,23.13775778,6.709,6.57,Cancer,0.13899999999999935
1928-01817-1,125.13395056,24.02235611,5.852,5.904,Cancer,-0.0519999999999996
1930-00674-1,120.43238222,25.08943972,6.341,6.301,Cancer,0.040000000000000036
1931-01928-1,122.61343778,25.50812194,6.727,5.806,Cancer,0.9210000000000003
1933-00230-1,118.33777139,28.05201917,6.894,6.915,Gemini,-0.020999999999999908
1933-02000-1,118.37431444,26.76585444,5.092,4.977,Gemini,0.11499999999999932
1934-01889-1,120.87957667,27.79441472,6.397,5.064,Gemini,1.3330000000000002
1935-00132-3,121.40438944,27.52976028,6.648,6.695,Cancer,-0.0470000000000006
1936-01174-1,125.01613083,27.21861694,5.672,5.179,Cancer,0.49299999999999944
1937-01754-1,117.48759139,28.19878472,6.868,6.785,Gemini,0.08300000000000018
1939-01462-1,123.28697417,29.65658528,5.528,5.595,Cancer,-0.06700000000000017
1941-02826-1,127.15334833,24.14504889,6.331,6.065,Cancer,0.266
1941-02827-1,127.87736444,24.08121639,6.067,5.732,Cancer,0.33499999999999996
1944-00407-1,127.45644389,26.19288194,6.775,6.798,Cancer,-0.022999999999999687
1944-02323-1,126.69615889,26.93548972,6.389,6.163,Cancer,0.22599999999999998
1944-02324-1,126.69514917,26.93434194,6.378,6.207,Cancer,0.17100000000000026
1949-02010-1,131.66663028,28.76517556,6.356,5.989,Cancer,0.367
1949-02011-1,131.67430806,28.760005,5.252,4.126,Cancer,1.1259999999999994
1949-02014-1,133.91536556,27.92756417,6.497,5.336,Cancer,1.1609999999999996
1950-02323-1,135.68444556,24.45293056,5.396,5.44,Cancer,-0.04400000000000048
1954-01881-1,137.19756278,26.62997528,6.773,6.028,Cancer,0.7450000000000001
1955-01904-1,141.16365889,26.18244,6.051,4.599,Leo,1.452
1956-01536-1,135.45365833,27.90277556,6.337,6.076,Cancer,0.2610000000000001
1956-01858-1,136.04111278,27.89831056,6.695,6.667,Cancer,0.02800000000000047
1957-01674-1,137.00029667,29.65422861,6.542,5.52,Cancer,1.0220000000000002
1959-01582-1,142.93016528,22.96806278,6.323,4.475,Leo,1.8480000000000008
1960-01550-1,146.46292083,23.77427889,3.955,3.042,Leo,0.9130000000000003
1961-01429-1,147.97094028,24.3958025,5.575,5.319,Leo,0.2560000000000002
1962-00498-1,142.82252306,27.38729889,6.729,6.634,Leo,0.09499999999999975
1964-01473-1,148.19145528,26.00708861,5.489,4.013,Leo,1.476
1965-00655-1,143.3263175,28.36801639,6.664,6.522,Leo,0.14199999999999946
1966-00051-1,145.88863028,29.97471667,5.77,5.637,Leo,0.133
1967-00656-1,149.60879944,27.7590675,6.876,6.508,Leo,0.3680000000000003
1969-01260-1,154.13503833,23.50301444,6.762,6.031,Leo,0.7309999999999999
1969-01261-1,154.17252222,23.41732917,3.795,3.455,Leo,0.33999999999999986
1969-01262-1,154.31160472,23.1064475,6.401,5.871,Leo,0.5299999999999994
1972-01090-1,154.54387417,27.4154575,6.496,6.519,Leo,-0.022999999999999687
1975-01399-1,154.06032194,29.31055889,5.508,5.489,Leo Minor,0.019000000000000128
1977-02583-1,162.65251278,23.40624556,6.962,6.623,Leo Minor,0.3389999999999995
1977-02632-1,160.8542725,23.18838472,5.122,5.075,Leo Minor,0.04699999999999971
1978-00604-1,163.67583306,25.49072417,6.534,6.223,Leo Minor,0.31099999999999994
1978-01614-1,166.91547861,23.32373889,6.697,6.492,Leo,0.20500000000000007
1978-02295-1,163.90352167,24.74975194,4.484,4.477,Leo,0.006999999999999673
1978-02297-1,167.20451806,24.65845083,5.776,5.706,Leo,0.0699999999999994
1979-02576-1,162.47388611,27.973875,6.496,6.092,Leo Minor,0.4040000000000008
1979-02709-1,160.75809194,26.3256925,5.726,5.53,Leo Minor,0.19599999999999973
1981-02471-1,168.80100806,23.095525,6.622,4.74,Leo,1.8819999999999997
1984-02611-1,174.07480556,27.78124,6.162,5.901,Leo,0.2610000000000001
1986-02432-1,184.08564,23.94542361,6.135,5.033,Coma Berenices,1.1019999999999994
1988-01082-1,183.00406,28.53645444,6.936,6.505,Coma Berenices,0.43100000000000005
1988-01527-1,182.69209556,27.28152972,6.147,6.004,Coma Berenices,0.14300000000000068
1989-03203-1,186.07724639,26.0986125,5.249,5.157,Coma Berenices,0.09199999999999964
1989-03204-1,184.75846889,26.00836972,6.649,6.456,Coma Berenices,0.19299999999999962
1989-03205-1,185.07433389,26.00182972,6.506,6.173,Coma Berenices,0.3330000000000002
1989-03206-1,187.22798722,25.91288444,5.204,5.231,Coma Berenices,-0.027000000000000135
1989-03207-1,186.90987972,25.91212639,6.88,6.678,Coma Berenices,0.20199999999999996
1989-03208-1,187.18573972,25.89935694,6.874,6.638,Coma Berenices,0.23599999999999977
1989-03209-1,186.01445389,25.85125194,6.968,6.722,Coma Berenices,0.24599999999999955
1989-03210-1,185.62633056,25.84618,5.384,4.859,Coma Berenices,0.5250000000000004
1989-03212-1,185.54525556,24.77387444,6.177,6.163,Coma Berenices,0.013999999999999346
1989-03213-1,187.75236528,24.56718972,5.518,5.444,Coma Berenices,0.07399999999999984
1989-03214-1,187.36271861,24.10892278,5.98,5.519,Coma Berenices,0.4610000000000003
1989-03217-1,184.83000139,23.03469361,6.463,6.246,Coma Berenices,0.21699999999999964
1989-03218-1,187.15902056,26.22697306,6.743,6.522,Coma Berenices,0.22100000000000009
1990-03780-1,188.39260972,24.28300333,6.399,6.26,Coma Berenices,0.13900000000000023
1990-03784-1,188.71298278,22.62919167,4.778,4.773,Coma Berenices,0.004999999999999893
1991-01107-1,184.96096667,28.46437417,6.859,6.643,Coma Berenices,0.2160000000000002
1991-01894-1,184.37748361,28.93710694,5.908,5.722,Coma Berenices,0.18599999999999994
1991-01895-1,186.73468611,28.26861056,5.788,4.466,Coma Berenices,1.322
1991-01897-1,186.60030472,27.26826111,5.232,4.948,Coma Berenices,0.2839999999999998
1991-01901-1,186.74709861,26.82572194,5.075,4.971,Coma Berenices,0.10400000000000009
1991-01902-1,185.08215583,26.61973778,6.925,5.643,Coma Berenices,1.282
1992-02215-1,192.32295722,27.55232889,5.814,5.757,Coma Berenices,0.057000000000000384
1995-01473-1,196.5428725,29.02925194,6.613,6.521,Coma Berenices,0.09200000000000053
1995-02586-1,192.92469889,27.54073472,5.724,4.999,Coma Berenices,0.7250000000000005
1996-02400-1,197.97039389,27.87601972,4.946,4.304,Coma Berenices,0.6419999999999995
1996-02401-1,196.79462222,27.6248975,6.727,4.952,Coma Berenices,1.7750000000000004
1997-00630-1,201.27785306,23.8544375,5.858,5.757,Coma Berenices,0.10099999999999998
2002-01055-1,206.68055778,25.70237333,6.578,6.024,Boötes,0.5540000000000003
2002-01056-1,209.14234833,27.49219139,6.901,5.167,Boötes,1.734
2005-00305-1,208.29315667,28.64806639,6.149,5.934,Canes Venatici,0.21499999999999986
2009-00085-1,210.29387778,27.38654861,6.456,6.246,Boötes,0.20999999999999996
2010-01245-1,212.59977944,25.09181528,5.451,4.868,Boötes,0.5829999999999993
2011-01146-1,215.77880861,25.3380275,6.664,6.252,Boötes,0.4119999999999999
2016-00199-1,222.48448528,24.72047056,6.788,6.769,Boötes,0.019000000000000128
2016-00334-1,222.56551083,23.91176528,6.583,5.935,Boötes,0.6480000000000006
2018-01274-1,218.08444694,26.67734139,6.266,6.03,Boötes,0.23599999999999977
2019-01250-1,221.24658444,27.07492778,4.872,4.808,Boötes,0.06400000000000006
2019-01251-1,221.24687333,27.07417556,3.937,2.578,Boötes,1.359
2019-01252-1,220.855715,26.52788944,6.994,5.003,Boötes,1.9909999999999997
2020-01409-1,225.52713278,25.00825222,6.789,4.965,Boötes,1.8239999999999998
2021-01323-1,218.66957194,29.74481972,4.881,4.501,Boötes,0.3799999999999999
2022-01296-1,222.49328056,28.6158325,5.866,5.791,Boötes,0.07499999999999929
2024-01062-1,228.38266889,22.98317,6.384,6.307,Serpens,0.07699999999999996
2024-01355-1,226.82480361,24.86957778,5.432,4.974,Boötes,0.4580000000000002
2027-01405-1,226.111875,26.94766028,6.151,4.653,Boötes,1.4980000000000002
2028-00400-1,228.92270444,25.64254333,6.884,6.95,Boötes,-0.06599999999999984
2030-01317-1,228.62167694,29.16423,5.345,5.279,Boötes,0.06599999999999984
2031-01389-1,230.03597722,29.61630694,6.794,5.615,Corona Borealis,1.1789999999999994
2032-00195-1,234.22238111,29.99131389,6.948,6.503,Corona Borealis,0.4450000000000003
2032-01605-1,231.95769139,29.1055025,3.99,3.672,Corona Borealis,0.31800000000000006
2035-01749-1,240.57370583,22.80439667,4.912,4.827,Serpens,0.08499999999999996
2036-01674-1,235.68601083,26.29551056,3.866,3.851,Corona Borealis,0.015000000000000124
2037-01826-1,239.39708167,26.87802,5.732,4.274,Corona Borealis,1.4580000000000002
2037-01827-1,237.39873861,26.06854389,5.568,4.685,Corona Borealis,0.883
2039-01605-1,237.14339972,28.15677333,6.614,5.959,Corona Borealis,0.6550000000000002
2041-01805-1,240.36079278,29.85107639,4.911,4.963,Corona Borealis,-0.05200000000000049
2050-00162-1,243.18928611,26.67065556,6.916,6.537,Corona Borealis,0.37900000000000045
2053-01366-1,250.40291,26.91698361,6.381,5.963,Hercules,0.41800000000000015
2054-01147-1,244.18655,29.15030028,5.857,5.787,Corona Borealis,0.07000000000000028
2061-00489-1,257.76321278,24.23762611,6.463,6.22,Hercules,0.24300000000000033
2062-01253-1,252.93856472,24.65641833,6.653,5.17,Hercules,1.4829999999999997
2064-00620-1,257.13976222,24.48659806,6.987,6.854,Hercules,0.133
2065-01930-1,258.75801583,24.83956222,3.219,3.115,Hercules,0.10399999999999965
2074-01985-1,261.02755389,22.96036806,5.965,5.733,Hercules,0.2320000000000002
2076-02324-1,265.45738583,23.75345333,6.807,6.93,Hercules,-0.12299999999999933
2076-03366-1,264.37957639,24.30997028,5.891,5.768,Hercules,0.12300000000000022
2077-04273-1,265.84015222,24.32765694,6.544,5.805,Hercules,0.7389999999999999
2078-01802-1,260.04094556,25.53764194,5.429,5.364,Hercules,0.06500000000000039
2078-01803-1,260.22590861,24.49943861,5.119,5.122,Hercules,-0.0030000000000001137
2079-02057-1,262.68457583,26.11060778,6.248,4.552,Hercules,1.6960000000000006
2081-01445-1,267.50514028,24.46808167,6.999,7.085,Hercules,-0.0860000000000003
2081-03674-1,267.20478889,25.62295833,6.57,5.227,Hercules,1.343
2081-03675-1,267.56248944,25.2909675,6.805,6.706,Hercules,0.09899999999999931
2082-02132-1,261.50359722,26.8786875,6.515,6.39,Hercules,0.125
2084-00797-1,265.50664778,27.64509944,6.936,6.745,Hercules,0.19099999999999984
2085-03062-1,266.61547028,27.72242083,4.336,3.49,Hercules,0.8460000000000001
2086-01979-1,259.70206833,28.8229825,6.915,5.788,Hercules,1.1269999999999998
2087-02410-1,262.95656278,28.40743778,5.645,5.648,Hercules,-0.0030000000000001137
2088-01323-1,265.6531375,29.41890583,6.952,6.681,Hercules,0.2709999999999999
2089-00448-1,267.738625,29.99580833,6.869,6.784,Hercules,0.08499999999999996
2089-02094-1,267.59530361,29.32203389,6.884,5.636,Hercules,1.2480000000000002
2091-00131-1,271.167495,23.94216083,6.694,6.372,Hercules,0.32200000000000006
2091-04081-1,270.6256475,22.92324222,6.089,6.195,Hercules,-0.10599999999999987
2093-00611-1,275.16111694,22.79743056,6.76,6.834,Hercules,-0.07399999999999984
2094-04213-1,268.85494111,26.04997861,5.891,5.505,Hercules,0.3860000000000001
2095-03224-1,271.95650806,26.10122222,6.007,5.839,Hercules,0.16799999999999926
2095-03225-1,271.95629111,26.09727333,5.957,5.811,Hercules,0.1459999999999999
2096-01174-1,272.22068417,24.96664306,6.794,6.727,Hercules,0.06699999999999928
2097-01108-1,275.36569611,25.05676444,6.871,6.963,Hercules,-0.09199999999999964
2101-02501-1,276.24361917,27.39479611,6.4,6.339,Hercules,0.06099999999999994
2102-02772-1,269.4409725,29.24792361,4.859,3.794,Hercules,1.065
2103-03078-1,271.88562833,28.76246972,3.799,3.823,Hercules,-0.02400000000000002
2105-02583-1,275.23737333,29.85879889,5.89,5.635,Hercules,0.2549999999999999
2105-02585-1,275.10553028,28.98353917,6.481,6.592,Hercules,-0.11099999999999977
2105-02586-1,275.25424028,28.86984222,5.371,5.142,Hercules,0.2290000000000001
2106-02025-1,277.39879389,23.86620722,5.743,5.847,Hercules,-0.10400000000000009
2106-02399-1,276.36615444,22.70681278,6.675,6.772,Hercules,-0.09700000000000042
2107-00474-1,278.87666,23.60561222,6.977,5.803,Hercules,1.1740000000000004
2108-00147-1,282.23178639,24.05588278,6.441,6.529,Hercules,-0.08800000000000008
2108-00276-1,282.06827444,23.51476389,6.771,6.238,Hercules,0.5329999999999995
2108-00837-1,281.16785583,23.59008139,6.8,6.352,Hercules,0.4479999999999995
2109-02837-1,283.68700444,22.64507333,5.541,4.667,Hercules,0.8740000000000006
2110-00987-1,276.58182917,26.22772861,6.726,6.862,Hercules,-0.13600000000000012
2111-00459-1,280.09066,26.13086028,6.867,6.849,Lyra,0.017999999999999794
2112-01633-1,282.30954861,25.04658167,6.858,6.752,Hercules,0.10599999999999987
2114-02002-1,276.62175361,26.4610225,6.951,7.066,Hercules,-0.11500000000000021
2114-02128-1,276.67053028,26.44923056,6.357,6.48,Hercules,-0.12300000000000022
2116-02764-1,281.51861944,26.66207361,6.366,4.958,Lyra,1.4079999999999995
2118-02628-1,276.49488472,29.82898778,5.885,5.815,Hercules,0.0699999999999994
2119-00175-1,279.49973889,28.62993639,6.766,6.888,Lyra,-0.12199999999999989
2122-00554-1,286.65984389,24.25076,5.908,5.787,Vulpecula,0.12100000000000044
2124-02557-1,289.431815,23.02554944,5.426,5.434,Vulpecula,-0.008000000000000007
2126-00478-1,285.82446361,25.82612167,6.932,6.956,Lyra,-0.02400000000000002
2126-02370-1,284.93929194,26.23043194,6.848,5.399,Lyra,1.4489999999999998
2127-01185-1,287.00820861,24.72602944,6.561,6.591,Vulpecula,-0.03000000000000025
2129-02770-1,291.35777861,24.91422056,6.798,6.251,Vulpecula,0.5469999999999997
2129-02772-1,292.17670639,24.66515056,6.382,4.61,Vulpecula,1.7719999999999994
2130-01175-1,284.99585778,26.96567222,6.704,6.784,Lyra,-0.08000000000000007
2130-02667-1,285.32232111,26.29143139,5.579,5.673,Lyra,-0.0940000000000003
2131-02063-1,287.87900861,26.73594444,6.839,6.386,Lyra,0.4530000000000003
2131-03687-1,288.74518667,27.96108556,6.814,6.891,Lyra,-0.07699999999999996
2132-03196-1,288.99786083,27.92629944,6.906,6.224,Lyra,0.6819999999999995
2132-03774-1,288.98733583,27.4559275,6.918,7.028,Lyra,-0.10999999999999943
